[METRICS] total=1 | 2xx=1 | 4xx=0 | 5xx=0 | last: GET /ping/ -> 200
[METRICS] total=2 | 2xx=1 | 4xx=1 | 5xx=0 | last: GET /9999/update/ -> 404
[METRICS] total=3 | 2xx=2 | 4xx=1 | 5xx=0 | last: POST /create/ -> 200
[METRICS] total=4 | 2xx=2 | 4xx=1 | 5xx=0 | last: POST /create/ -> 302
[METRICS] total=5 | 2xx=2 | 4xx=1 | 5xx=0 | last: POST /1/delete/ -> 302
[METRICS] total=6 | 2xx=3 | 4xx=1 | 5xx=0 | last: GET / -> 200
[METRICS] total=1 | 2xx=1 | 4xx=0 | 5xx=0 | last: GET / -> 200
[METRICS] total=2 | 2xx=1 | 4xx=1 | 5xx=0 | last: GET /apple-touch-icon-precomposed.png -> 404
[METRICS] total=3 | 2xx=1 | 4xx=2 | 5xx=0 | last: GET /apple-touch-icon.png -> 404
[METRICS] total=4 | 2xx=1 | 4xx=3 | 5xx=0 | last: GET /favicon.ico -> 404
[METRICS] total=5 | 2xx=1 | 4xx=4 | 5xx=0 | last: GET /favicon.ico -> 404
[METRICS] total=6 | 2xx=1 | 4xx=4 | 5xx=0 | last: GET /admin/ -> 302
[METRICS] total=7 | 2xx=2 | 4xx=4 | 5xx=0 | last: GET /admin/login/ -> 200
[METRICS] total=8 | 2xx=2 | 4xx=4 | 5xx=0 | last: POST /admin/login/ -> 302
[METRICS] total=9 | 2xx=3 | 4xx=4 | 5xx=0 | last: GET /admin/ -> 200
[METRICS] total=10 | 2xx=4 | 4xx=4 | 5xx=0 | last: GET /admin/products/product/add/ -> 200
[METRICS] total=11 | 2xx=5 | 4xx=4 | 5xx=0 | last: GET /admin/jsi18n/ -> 200
[METRICS] total=12 | 2xx=6 | 4xx=4 | 5xx=0 | last: POST /admin/products/product/add/ -> 200
[METRICS] total=13 | 2xx=7 | 4xx=4 | 5xx=0 | last: GET /admin/jsi18n/ -> 200
